date,M1_signal,M2_signal,M3_signal,M5_signal,Seasonal_Factor,Tax_Week_Flag,M1_contribution,M2_contribution,M3_contribution,M5_contribution,LSI_raw,LSI_adjusted,LSI,LSI_status,M1_share,M2_share,M3_share,M5_share
2022-11-01,0.3435199125866797,0.0,0.0,0.0,1.0966666666666667,0.4666666666666667,0.08587997814666992,0.0,0.0,0.0,0.08587997814666992,0.09418170936751469,52.35280383896155,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2022-12-01,0.9534575172974198,0.0,0.0,0.0,1.1096774193548387,0.5161290322580645,0.23836437932435495,0.0,0.0,0.0,0.23836437932435495,0.26450756931476804,56.5744027565023,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-01-01,0.2185879208911461,0.0,0.0,0.0,1.1,0.4838709677419355,0.05464698022278652,0.0,0.0,0.0,0.05464698022278652,0.06011167824506518,51.50233960213972,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-02-01,0.1764263142962431,0.0,0.0,0.0,1.0892857142857142,0.42857142857142855,0.04410657857406077,0.0,0.0,0.0,0.04410657857406077,0.048044665946744766,51.20088565819943,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-03-01,0.1569190362483442,0.0,0.0,0.0,1.1225806451612903,0.5806451612903226,0.03922975906208605,0.0,0.0,0.0,0.03922975906208605,0.04403856823743853,51.10078630668606,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-04-01,0.0517436931250826,0.0,0.0,0.0,1.0966666666666667,0.4666666666666667,0.01293592328127065,0.0,0.0,0.0,0.01293592328127065,0.014186395865126811,50.35465394869273,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-05-01,0.0302286642509055,0.1,0.0,0.0,1.1064516129032258,0.5161290322580645,0.007557166062726375,0.03,0.0,0.0,0.037557166062726376,0.041555186966177896,51.03873020227486,ЖЁЛТЫЙ,0.2012176863958457,0.7987823136041543,0.0,0.0
2023-06-01,0.0383969207634628,0.0,0.0,0.0,1.1,0.4666666666666667,0.0095992301908657,0.0,0.0,0.0,0.0095992301908657,0.01055915320995227,50.26397637756709,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-07-01,0.2082763942172225,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,0.05206909855430562,0.0,0.0,0.0,0.05206909855430562,0.05761193807782848,51.439900205329344,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-08-01,0.9893127896029884,0.1,0.0,0.0,1.1,0.4838709677419355,0.2473281974007471,0.03,0.0,0.0,0.2773281974007471,0.30506101714082184,57.567925593006905,ЖЁЛТЫЙ,0.8918249197839441,0.10817508021605589,0.0,0.0
2023-09-01,1.5598463732000882,0.1,0.0,0.0,1.1,0.4666666666666667,0.38996159330002206,0.03,0.0,0.0,0.41996159330002203,0.46195775263002425,61.34785065976671,ЖЁЛТЫЙ,0.9285648962223841,0.0714351037776159,0.0,0.0
2023-10-01,1.791654129921643,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,0.44791353248041077,0.0,0.0,0.0,0.44791353248041077,0.4955946504541319,62.142350057430704,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-11-01,2.317033059238127,0.0,0.0,0.0,1.0966666666666667,0.4666666666666667,0.5792582648095318,0.0,0.0,0.0,0.5792582648095318,0.6352532304077866,65.36796600787517,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2023-12-01,2.401636925846593,0.0,0.0,0.0,1.1096774193548387,0.5161290322580645,0.6004092314616483,0.0,0.0,0.0,0.6004092314616483,0.6662605665251838,66.06653324761761,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-01-01,2.537197801416598,0.0,0.0,0.0,1.1,0.4838709677419355,0.6342994503541495,0.0,0.0,0.0,0.6342994503541495,0.6977293953895645,66.76841577879917,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-02-01,2.524154324434703,0.0,0.0,0.0,1.0931034482758621,0.4482758620689655,0.6310385811086757,0.0,0.0,0.0,0.6310385811086757,0.6897904490050007,66.59203094684709,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-03-01,2.430426817579451,0.0,0.0,0.0,1.1161290322580646,0.5483870967741935,0.6076067043948628,0.0,0.0,0.0,0.6076067043948628,0.67816748296975,66.33295759459402,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-04-01,2.3625418275937142,0.0,0.0,0.0,1.0966666666666667,0.4666666666666667,0.5906354568984286,0.0,0.0,0.0,0.5906354568984286,0.6477302177319433,65.64987902968231,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-05-01,2.21224155007148,0.0,0.0,2.713394694533762,1.1064516129032258,0.5161290322580645,0.55306038751787,0.0,0.0,0.6783486736334405,1.2314090611513104,1.3624945418545145,79.61648270188894,КРАСНЫЙ,0.4491280801529787,0.0,0.0,0.5508719198470213
2024-06-01,5.5516368429357215,0.0,0.0,0.0,1.1,0.4666666666666667,1.3879092107339304,0.0,0.0,0.0,1.3879092107339304,1.5267001318073234,82.15229909875997,КРАСНЫЙ,1.0,0.0,0.0,0.0
2024-07-01,9.75493849124866,0.0,0.0,3.104915939561609,1.1064516129032258,0.5161290322580645,2.438734622812165,0.0,0.0,0.7762289848904023,3.2149636077025674,3.5572016691676795,97.2272237278322,КРАСНЫЙ,0.7585574583081828,0.0,0.0,0.24144254169181723
2024-08-01,5.978037426315561,0.0,0.0,0.0,1.1,0.4838709677419355,1.4945093565788903,0.0,0.0,0.0,1.4945093565788903,1.6439602922367795,83.80730949629914,КРАСНЫЙ,1.0,0.0,0.0,0.0
2024-09-01,2.1253210019586777,0.0,0.0,3.7945031791907513,1.1,0.4666666666666667,0.5313302504896694,0.0,0.0,0.9486257947976878,1.4799560452873572,1.627951649816093,83.58888420817779,КРАСНЫЙ,0.3590175885166259,0.0,0.0,0.6409824114833741
2024-10-01,2.237829555455364,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,0.559457388863841,0.0,0.0,0.0,0.559457388863841,0.619012530259024,64.99939306972249,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2024-11-01,1.619555466269761,0.0,0.0,0.5667455678677821,1.0966666666666667,0.4666666666666667,0.4048888665674403,0.0,0.0,0.14168639196694552,0.5465752585343858,0.5994108668593765,64.552151028462,ЖЁЛТЫЙ,0.7407742305298075,0.0,0.0,0.25922576947019244
2024-12-01,2.56770726169742,0.0,0.0,1.5668397321596914,1.1096774193548387,0.5161290322580645,0.641926815424355,0.0,0.0,0.39170993303992285,1.0336367484642779,1.1470033595861664,75.89631427666384,КРАСНЫЙ,0.6210371451848007,0.0,0.0,0.3789628548151993
